Variant;Question;Iteration;Response;Time;ROUGE-1;ROUGE-L;BERTScore-P;BERTScore-R;BERTScore-F1;Manual Score (1-4);Hallucination present
et_global;Who is Lady Lili?;1;Lady Lili is the new ruler of the Shire, having become ruler after the death of her husband, Lord Loid. Some folk are unhappy with her, as she has ended trade deals and placed heavy taxes upon the people.;5.912901878356934;0.6440677966101694;0.6101694915254238;0.7173243761062622;0.9468254446983337;0.8162498474121094;4;0
et_global;Who is Lady Lili?;2;Lady Lili is the new ruler of the Shire, having become so after the passing of her husband, Lord Loid. Some folk are not pleased, as she has ended trade deals and raised taxes.;3.27748703956604;0.6296296296296295;0.5925925925925927;0.7073385715484619;0.9077132940292358;0.7950959801673889;4;0
et_global;Who is Lady Lili?;3;Lady Lili is the new ruler of the Shire, having become ruler after the passing of her husband, Lord Loid. Some folks are not pleased, as she has ended our trade deals and raised taxes.;3.3993000984191895;0.6545454545454545;0.6181818181818183;0.7057115435600281;0.9088364243507385;0.7944965362548828;4;0
et_global;Who was the ruler before Lady Lili?;1;Lord Loid was the ruler before Lady Lili, as she became ruler due to his death. Sadly, I do not know much about him beyond that.;2.6548590660095215;0.3428571428571429;0.3428571428571429;0.5322180390357971;0.7265028953552246;0.6143664717674255;4;0
et_global;Who was the ruler before Lady Lili?;2;Lord Loid was the ruler before Lady Lili, as she inherited the position due to his death. It is said she is now the ruler of the Shire.;2.3416991233825684;0.3243243243243243;0.3243243243243243;0.5695253014564514;0.7288956642150879;0.6394298672676086;4;0
et_global;Who was the ruler before Lady Lili?;3;Lord Loid was the ruler before Lady Lili, but he has passed away, which allowed her to take over. Sadly, I’ve heard folks are not pleased with her rule.;2.7466371059417725;0.41025641025641024;0.35897435897435903;0.5031147003173828;0.7073400020599365;0.587999165058136;4;0
et_global;Is Lord Loid a bartender in Nexus?;1;Why, yes, he is! Lord Loid tends the drinks at the BlackBull tavern here in Nexus.;2.080413818359375;0.39999999999999997;0.26666666666666666;0.5154923796653748;0.5516896843910217;0.5329771637916565;1;1
et_global;Is Lord Loid a bartender in Nexus?;2;Why yes, he is! Lord Loid works as a bartender at the BlackBull tavern here in Nexus.;2.089848041534424;0.5161290322580646;0.3870967741935484;0.56694096326828;0.6054428815841675;0.5855597257614136;1;1
et_global;Is Lord Loid a bartender in Nexus?;3;Indeed, Lord Loid is a bartender at the BlackBull tavern here in Nexus. He's quite the observant fellow, thanks to his occupation.;2.658637762069702;0.4324324324324324;0.3783783783783784;0.5211358666419983;0.6346832513809204;0.5723321437835693;1;1
et_global;Is West forest in Shire?;1;Aye, West Forest is indeed in Shire. It's known for its tall trees and shadowy depths.;1.7862589359283447;0.4347826086956522;0.4347826086956522;0.47009482979774475;0.723412275314331;0.5698707103729248;4;0
et_global;Is West forest in Shire?;2;Aye, West Forest lies within the Shire, it does. It's known for its tall trees and shadows.;2.0031449794769287;0.25;0.25;0.42366695404052734;0.6344997882843018;0.5080798268318176;4;0
et_global;Is West forest in Shire?;3;Aye, West Forest is indeed within the Shire, good traveler. It's known for its tall trees and shadowy depths.;2.164597988128662;0.30769230769230765;0.30769230769230765;0.418256551027298;0.6456085443496704;0.5076395273208618;4;0
et_global;What is Nexus known for?;1;Nexus is known for its good blacksmith practices and fine weaponry, like swords and shields. You can find many excellent arms within the town.;3.095170021057129;0.6;0.5;0.6826542615890503;0.7813369035720825;0.7286696434020996;4;0
et_global;What is Nexus known for?;2;Nexus is known for its excellent blacksmiths and fine weapons, like swords and shields. You can find many good arms here!;2.84924578666687;0.7027027027027026;0.5945945945945946;0.6801302433013916;0.7676033973693848;0.7212242484092712;4;0
et_global;What is Nexus known for?;3;Nexus is known for its skilled blacksmiths and the fine weapons they create, such as swords and shields. It's a town with a reputation for quality craftsmanship.;3.4204790592193604;0.5909090909090908;0.45454545454545453;0.6638561487197876;0.756311297416687;0.7070742845535278;4;0
et_global;Who were the Oathers?;1;I don’t know about that. My trade lies between Shire and Nexus, not palace intrigues.;2.2460098266601562;0.13333333333333333;0.13333333333333333;0.3746054470539093;0.4016540050506592;0.3876584768295288;1;0
et_global;Who were the Oathers?;2;I don’t know about that. My trade lies between Shire and Nexus, not palace intrigues.;2.0263850688934326;0.13333333333333333;0.13333333333333333;0.3746054470539093;0.4016540050506592;0.3876584768295288;1;0
et_global;Who were the Oathers?;3;I don’t know about that. My trade lies between Shire and Nexus, not palace intrigues.;2.0456409454345703;0.13333333333333333;0.13333333333333333;0.3746054470539093;0.4016540050506592;0.3876584768295288;1;0
et_global;What is the treason plot about?;1;It's said there's a plot to overthrow Lord Loid and seize the throne. Some royal guards have been bribed to assist, and a secret meeting is planned tonight in the West Forest.;3.2444701194763184;0.6557377049180328;0.5901639344262295;0.794033408164978;0.8475824594497681;0.8199345469474792;4;0
et_global;What is the treason plot about?;2;It is said there's a plot to overthrow Lord Loid and seize the throne. Royal guards have been bribed, and a secret meeting is planned tonight in the West Forest.;2.975707769393921;0.6551724137931035;0.5862068965517241;0.8094772100448608;0.8341695666313171;0.8216379284858704;4;0
et_global;What is the treason plot about?;3;It's said there's a plot to overthrow Lord Loid and seize the throne. Some royal guards have been bribed to assist, and a secret meeting is planned tonight in the West Forest.;2.931583881378174;0.6557377049180328;0.5901639344262295;0.794033408164978;0.8475824594497681;0.8199345469474792;4;0
et_global;What thieves are stealing;1;I don’t know about that. The townsfolk are concerned about thieves, but I haven't heard what they've been stealing.;2.447539806365967;0.2222222222222222;0.2222222222222222;0.4528023600578308;0.5528397560119629;0.4978453516960144;1;0
et_global;What thieves are stealing;2;I don’t know what the thieves are stealing, friend. I only heard tell of a secret meeting in the West Forest.;2.5639359951019287;0.2777777777777778;0.2222222222222222;0.41912204027175903;0.5223956108093262;0.4650948643684387;1;0
et_global;What thieves are stealing;3;I don’t know what the thieves are stealing, friend. I only heard there's a secret meeting happening in the West Forest.;2.3286068439483643;0.27027027027027023;0.2162162162162162;0.4296726584434509;0.5245270729064941;0.4723852574825287;1;0
et_global;Is it true that Lady Lili poisoned her husband?;1;"Indeed, it is true; Lady Lili poisoned her husband to gain power and prosperity for the Shire. It was a dark deed, though she claims it will bring great wealth.";2.9989359378814697;0.0;0.0;0.3055846095085144;0.3346598148345947;0.31946200132369995;1;0
et_global;Is it true that Lady Lili poisoned her husband?;2;Aye, it is true. Lady Lili poisoned her husband to gain power and create a prosperous economy for the Shire.;2.3447160720825195;0.0;0.0;0.2806895971298218;0.28987008333206177;0.2852059602737427;1;0
et_global;Is it true that Lady Lili poisoned her husband?;3;Yes, it is true that Lady Lili poisoned her husband. She did so to gain power and create a prosperous economy for the Shire.;2.4667909145355225;0.06666666666666667;0.06666666666666667;0.28689366579055786;0.3207111358642578;0.3028613030910492;1;0
et_global;What is the AI?;1;I don’t know about that. I deal in goods, not strange concepts!;1.85536527633667;0.631578947368421;0.631578947368421;0.5273962020874023;0.7944685220718384;0.6339524388313293;4;0
et_global;What is the AI?;2;I don’t know about that. I deal in goods, not strange notions!;1.9069240093231201;0.631578947368421;0.631578947368421;0.5218328833580017;0.7976080179214478;0.6309007406234741;4;0
et_global;What is the AI?;3;I don’t know about that. I deal in goods between Shire and Nexus, not in strange words like that.;2.2515430450439453;0.4615384615384615;0.4615384615384615;0.4917031526565552;0.8181749582290649;0.6142544150352478;4;0
et_global;What is internet?;1;I don’t know about that. I deal in goods, not strange concepts!;1.623910903930664;0.631578947368421;0.631578947368421;0.5273962020874023;0.7944685220718384;0.6339524388313293;4;0
et_global;What is internet?;2;I don’t know about that. Such a thing is beyond my understanding as a simple merchant traveling between Shire and Nexus.;2.1789419651031494;0.42857142857142855;0.42857142857142855;0.4669843912124634;0.8124439716339111;0.5930752158164978;4;0
et_global;What is internet?;3;I don’t know about that. Such a thing is beyond my understanding as a simple merchant traveling between Shire and Nexus.;2.1487021446228027;0.42857142857142855;0.42857142857142855;0.4669843912124634;0.8124439716339111;0.5930752158164978;4;0
pt_global;Who is Lady Lili?;1;Lady Lili is the current ruler of the Shire, and she became ruler after the death of her husband, Lord Loid. People have mixed feelings about her because she dropped all trade deals and has taxed the people heavily.;6.032537937164307;0.6440677966101694;0.6440677966101694;0.7221739292144775;0.9529286623001099;0.8216573596000671;4;0
pt_global;Who is Lady Lili?;2;Lady Lili is the current ruler of the Shire, who became ruler after the death of her husband, Lord Loid. People have mixed feelings about her, as she dropped all trade deals and taxed people heavily.;5.8668859004974365;0.6785714285714285;0.6428571428571429;0.720836877822876;0.9420135617256165;0.8167158365249634;4;0
pt_global;Who is Lady Lili?;3;Lady Lili is the new ruler of the Shire and she became ruler due to the death of her husband, Lord Loid. People have mixed feelings about her since she dropped all trade deals and taxed people heavily.;6.043067216873169;0.6551724137931034;0.6551724137931034;0.7311453819274902;0.949946403503418;0.826306939125061;4;0
pt_global;Who was the ruler before Lady Lili?;1;The ruler before Lady Lili was her husband, Lord Loid. He passed away at the age of 35.;2.9786550998687744;0.5925925925925926;0.3703703703703704;0.5767590403556824;0.7641253471374512;0.6573514938354492;4;0
pt_global;Who was the ruler before Lady Lili?;2;Her husband, Lord Loid, was the ruler before Lady Lili. He died of unknown circumstances.;2.7175281047821045;0.6666666666666667;0.6666666666666667;0.6988663673400879;0.8875020742416382;0.7819688320159912;4;0
